fields.date,fields.gc_obo_gare_origine_r_name,fields.gc_obo_type_c
52,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Vêtements, chaussures"
52,Paris Montparnasse,Instruments de musique
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,Optique
52,Paris Montparnasse,Divers
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,Pièces d'identités et papiers personnels
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Appareils électroniques, informatiques, appareils photo"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
52,Paris Montparnasse,"Articles d'enfants, de puériculture"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Vélos, trottinettes, accessoires 2 roues"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Livres, articles de papéterie"
52,Paris Montparnasse,"Vêtements, chaussures"
52,Paris Montparnasse,"Vêtements, chaussures"
52,Paris Montparnasse,Pièces d'identités et papiers personnels
52,Paris Montparnasse,Pièces d'identités et papiers personnels
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,Parapluies
52,Paris Montparnasse,"Vêtements, chaussures"
52,Paris Montparnasse,"Vêtements, chaussures"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Vêtements, chaussures"
52,Paris Montparnasse,Pièces d'identités et papiers personnels
52,Paris Montparnasse,Pièces d'identités et papiers personnels
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,Divers
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,Optique
52,Paris Montparnasse,Pièces d'identités et papiers personnels
52,Paris Montparnasse,"Livres, articles de papéterie"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Livres, articles de papéterie"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Appareils électroniques, informatiques, appareils photo"
52,Paris Montparnasse,Pièces d'identités et papiers personnels
52,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
52,Paris Montparnasse,"Appareils électroniques, informatiques, appareils photo"
52,Paris Montparnasse,Optique
52,Paris Montparnasse,Optique
52,Paris Montparnasse,"Appareils électroniques, informatiques, appareils photo"
52,Paris Montparnasse,"Appareils électroniques, informatiques, appareils photo"
52,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
52,Paris Montparnasse,"Appareils électroniques, informatiques, appareils photo"
52,Paris Montparnasse,"Vêtements, chaussures"
52,Paris Montparnasse,"Appareils électroniques, informatiques, appareils photo"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,Pièces d'identités et papiers personnels
52,Paris Montparnasse,"Appareils électroniques, informatiques, appareils photo"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,Pièces d'identités et papiers personnels
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
52,Paris Montparnasse,Divers
52,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Vêtements, chaussures"
51,Paris Montparnasse,"Bijoux, montres"
51,Paris Montparnasse,"Vêtements, chaussures"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Vêtements, chaussures"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,Optique
51,Paris Montparnasse,Pièces d'identités et papiers personnels
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Clés, porte-clés, badge magnétique"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Vêtements, chaussures"
51,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
51,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
51,Paris Montparnasse,"Livres, articles de papéterie"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,Articles médicaux
51,Paris Montparnasse,Optique
51,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
51,Paris Montparnasse,Pièces d'identités et papiers personnels
51,Paris Montparnasse,Pièces d'identités et papiers personnels
51,Paris Montparnasse,"Appareils électroniques, informatiques, appareils photo"
51,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
51,Paris Montparnasse,"Articles de sport, loisirs, camping"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Appareils électroniques, informatiques, appareils photo"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
51,Paris Montparnasse,"Vélos, trottinettes, accessoires 2 roues"
51,Paris Montparnasse,"Vêtements, chaussures"
51,Paris Montparnasse,Optique
51,Paris Montparnasse,Pièces d'identités et papiers personnels
51,Paris Montparnasse,Pièces d'identités et papiers personnels
51,Paris Montparnasse,"Vélos, trottinettes, accessoires 2 roues"
51,Paris Montparnasse,"Porte-monnaie / portefeuille, argent, titres"
51,Paris Montparnasse,"Bagagerie: sacs, valises, cartables"
